group,age,fiinc,fninc,ownermort,ownerhome,rentalmort,rentalhome,dweght,year
group 10,0,10607.080075756847,9747.398068759145,-3968.049299399611,13052.285646375814,-1105.2341844664115,5093.934373015082,1.08352293827e12,1964
group 1,0,-308.0962717821139,-375.6980835702206,-145.35246614456665,632.8124999711492,-336.0772021975162,768.4215314723713,2.88557007335e11,1964
group 2,0,604.6491767422137,591.9895772892664,-554.6854877410351,1421.4401525220985,-391.17898269696946,907.6593072094089,8.86021516059e11,1964
group 9,0,5621.983139947798,5550.443166717046,-3123.9840210669263,7224.302467346528,-662.6521988089298,1668.747863539594,1.1185223e12,1964
group 8,0,4585.10820658557,4553.471314126111,-2624.028457514623,5618.718230740704,-451.146090001643,1174.814593832301,1.130224583398e12,1964
group 7,0,3887.070789730739,3862.829258344617,-2287.2475791709658,4989.209157832615,-330.0069574024847,771.8580903094064,1.131857507802e12,1964
group 6,0,3284.757625195808,3267.822887678513,-1926.8538645937438,4108.9604901606235,-321.8559453105318,747.8055663781686,1.120918719916e12,1964
group 5,0,2697.873644430341,2672.9783036821127,-1365.19887027338,3065.151114323941,-287.09816082691646,734.1792925152298,1.0870372e12,1964
group 4,0,2050.92263811623,2017.2369660623249,-850.4749159705726,2320.729457254103,-284.3916088082905,731.3501284772914,1.047247786642e12,1964
group 3,0,1362.8379597781213,1340.7152720917531,-522.4336979925937,1673.7874675851606,-205.36105311390278,732.9545949553286,9.79494142267e11,1964
group 10,65,19076.658130549044,14678.453841335175,-751.4144222605379,20346.478017837613,-1373.4048113196422,25936.507308494572,1.014405e11,1966
group 1,65,2.503308609447369,-0.7205041503582593,-46.00908818973338,1505.4166994293714,-44.47055246447804,80.2898341405443,9.45697292973e11,1966
group 9,65,6770.405076113244,5894.021045875315,-1250.0673307502138,11826.310277340237,-642.6737541249853,11218.713995131679,4.21722e10,1966
group 8,65,5826.786033948195,5406.263205606739,-407.3400026925168,16604.00035625804,-315.2929206414603,11290.253201886077,3.51471e10,1966
group 7,65,4663.3157858387885,4276.651875794589,-840.3835866177266,22699.029821422475,-162.7156649902171,9121.918839775723,3.92993e10,1966
group 6,65,4210.70580117003,3887.7824208197085,-1025.0506956800593,14571.969290066761,-125.57646508678646,10476.87499371976,6.48489e10,1966
group 5,65,3689.430960158923,3512.7333571493273,-577.349600735298,9481.286178729642,-108.93221371395582,5113.798487144721,7.3783677186e10,1966
group 4,65,2586.682751744354,2509.7953976373956,-702.4202951336384,9699.197869691632,-64.13095963336907,8206.283551267747,1.30809430456e11,1966
group 3,65,1690.037458590421,1596.1142917516393,-261.41348002409455,7136.940994356208,-89.69638524724034,5252.936023755072,1.90320536473e11,1966
group 2,65,853.4471383843786,828.5976340322816,-200.5241326406986,2707.9237703266053,-69.92194357246876,2238.148183147234,2.44932209261e11,1966
group 10,0,12032.755686799168,11015.390676370776,-4543.297372486856,13666.794173230412,-1362.5281990507065,5611.439738505386,1.099882e12,1966
group 1,0,-324.89568210447686,-463.0763575283061,-260.7344795598602,924.2947565946716,-438.09213396718053,1142.6471747374196,2.48622911827e11,1966
group 2,0,815.5682569842568,792.093761793485,-669.6812206786747,1615.7192426904537,-419.5247172415962,859.2958991659797,9.48575079178e11,1966
group 9,0,6335.467072949833,6272.683740755764,-3455.8929446552042,7699.480080799207,-801.6772102446442,1594.916241806224,1.1571793e12,1966
group 8,0,5175.280393053331,5135.491536182814,-2887.31014919226,5915.947185342104,-487.25897890158546,1050.0688042730242,1.1589527e12,1966
group 7,0,4423.301420243371,4395.38486823756,-2599.7870311665774,5469.622789338702,-393.4835172752147,907.3129995171689,1.1576168e12,1966
group 6,0,3774.7358924758314,3755.1840622463606,-2221.612131802557,4367.721114881364,-401.86009649841185,769.8455986529691,1.1301561e12,1966
group 5,0,3111.7859160215125,3079.528048598801,-1627.961787430377,3249.5029180818397,-359.65511816866166,975.5683170833114,1.1363696e12,1966
group 4,0,2424.80235405743,2399.077759821572,-986.7425808424825,2632.9106571729953,-322.4967437017017,680.7011704558693,1.053999e12,1966
group 3,0,1652.7427019161355,1632.1117708998709,-626.366947591607,1969.650193262543,-273.964138240043,734.0694786010771,1.012478162671e12,1966
group 10,65,21628.55258775505,16309.114426437887,-4446.222630513345,24194.355663856455,-1890.4628161294447,31906.225988387338,9.15786e10,1967
group 1,65,22.33730525253573,17.528508230172033,-18.345021172742424,742.7829805556922,0.0,27.74907560214168,9.09300180412e11,1967
group 9,65,7320.052751911746,6639.400024933489,-4636.936230052492,13780.94825871293,-374.8784731048461,14353.319666695468,4.44558e10,1967
group 8,65,6154.805004408593,5615.261118275317,-2774.084880682823,16118.821131462235,-449.24355414930216,8404.23416802239,3.75597e10,1967
group 7,65,5085.0836284988545,4678.346496911122,-3031.572950802404,11850.315937405836,-327.0735940506516,6980.19239438637,4.85258e10,1967
group 6,65,4463.22785555204,4239.715939138219,-2486.9331595506633,16026.85568926849,-123.7158141374184,4042.5639303002026,4.0868e10,1967
group 5,65,3899.8925079329438,3624.6937745565638,-1861.7186888743327,11455.457587789699,-132.66532078545112,8129.946873439744,7.66605e10,1967
group 4,65,2757.229464543891,2589.9180596035576,-695.624897255779,8763.712142271648,-173.48274220266447,4342.719715708174,1.30477473474e11,1967
group 3,65,1916.6255401655555,1848.8515779169834,-776.958879958038,7698.7196286148655,-63.44461479845771,4872.961162965237,2.21781830386e11,1967
group 2,65,959.7715611877794,922.0085752659786,-111.01119190439893,2675.109397398731,-3.8658172834336715,1551.824028766617,3.00454262899e11,1967
group 10,0,13224.362803056832,11629.23949640899,-4728.170216635077,13995.312607155547,-1504.4107353130782,6070.084200101574,1.1201967e12,1967
group 1,0,-257.16302570498175,-387.21240978772045,-385.7271349251903,1085.8082877470767,-502.1457017734038,1106.1938185838937,2.89732184269e11,1967
group 2,0,979.5108917103898,957.1108089828032,-539.992532675474,1398.5686251958907,-295.73467310773555,888.2283772537834,9.18133022932e11,1967
group 9,0,6699.670175091904,6611.446050481845,-3733.119988871537,8352.039780484685,-960.6006140103502,1986.4335180788507,1.190241e12,1967
group 8,0,5464.9107479810245,5387.977264428523,-2866.136403253238,6423.286607281915,-487.3728468561717,1106.536643550351,1.1525826e12,1967
